courseId,tag,lastUpdated,length,effort,price
45,ad64010a-c64e-48cc-9411-d4a2be090369,2020,2020-2021,598a6639-3c17-4831-813b-590075ea80df,6
231,930a192e-126c-4e09-8eb7-03270c1d7280,2020,2020-2021,98d384f6-8b1f-43fc-befe-59d76deccc18,60
71,78fd79d2-babe-4a37-b054-08f4d400ad23,2020,2020-2021,fe5421c7-dd1b-4726-bbd1-ee03804d5358,57
26,5f179326-3338-4842-9be3-c31603b75bf8,2020,2020-2021,c09f8eb0-0139-445c-9d3c-0d285a4da40a,53
249,29faba0a-82c7-436b-9aca-6de2cfa28893,2020,2020-2021,47c7e568-3419-4ba3-8598-e79267c879a7,97
248,47fcd6b4-760a-433f-889b-d258bcee6f60,2020,2020-2021,060c0df6-1b6a-42e3-8bd6-e64bbf8b162d,32
79,567b602c-b876-4ef9-872d-2c02313b1ba4,2020,2020-2021,f40454b0-7e8f-48c2-a652-7625e50d492c,80
31,8d149bed-b7b2-415c-839b-96557bc45067,2020,2020-2021,fa1b8b85-f574-41cf-8b3a-44e30c4d4d98,46
136,8713d665-fa14-47e0-8897-8ff7ba48d806,2020,2020-2021,00398a42-be9c-4c45-afc6-5c73dd56f729,71
250,9b257e96-eebb-43c2-9f0d-4439062d4bf8,2020,2020-2021,56209e0e-66cd-4c87-bd3f-b7ef555efdaf,38
173,0f5cee0d-4c99-41ee-bbe6-a5240f0639dd,2020,2020-2021,069bf008-a518-4220-bafc-baf6cf2f881f,54
120,ffd1a78c-22b1-40ba-8079-7a4cf64ac8a7,2020,2020-2021,296f577b-21f1-4be5-92cc-5b9686052545,20
163,f94ceb5c-5fbb-4d75-bc51-c803f04455a3,2020,2020-2021,e93f04c4-1b19-4c1a-9aff-9383a8a126af,73
27,37235738-51c6-4930-a276-0a333ee95318,2020,2020-2021,1a93b84e-0416-413c-8b7d-030c42ba739b,84
106,77bc3530-8ca8-4c56-aa57-5cedde72ba2e,2020,2020-2021,c84e4d50-ce67-440f-8d75-77047a334466,43
138,4e94ea64-f69e-4944-b43f-44791e40f4b9,2020,2020-2021,484d2783-5456-44ab-bd44-c4ee75fa2843,3
109,63abc4f9-1755-4934-a3ea-01523b3c05d6,2020,2020-2021,6635f7b7-a413-4578-8ca1-fad4abaf6d85,69
243,9bde842b-db04-49b5-9d95-f133f57625b3,2020,2020-2021,0284fbc3-5f51-4d98-9ec1-60f9f047cd89,48
49,e6e1717f-6ee8-4749-88ef-adf832096060,2020,2020-2021,70b01990-2c8b-4990-8fb9-7d19bca91cd6,68
140,e8d24be4-5e9e-4a11-8460-a4137a3bcc66,2020,2020-2021,ee354890-e4f1-4486-9106-7adf2293d0e1,99
46,fb69e1b9-3e52-4194-a070-d1f731744b93,2020,2020-2021,707cb5d4-c0de-43f4-968c-4e57b9f8f316,76
54,511bb5dd-65a2-4de8-b85f-3ad8f06624dd,2020,2020-2021,03ccc33c-d0d8-4cc5-9fca-d66abab0e388,85
218,e0a7fd2f-9d6b-4487-8f6f-beccbc6bb258,2020,2020-2021,5dc86d26-68e0-4ac3-9549-6c05ceee3539,34
10,4f447403-4480-4ddc-b28b-ca1c1f59d6aa,2020,2020-2021,60c303fb-0945-47f3-80d1-24a71cfce5e8,93
109,9a2ed588-26cd-464c-82fd-29ca8d677beb,2020,2020-2021,8a6016dd-cae5-4381-a0e8-eecc0f7fbc43,75
45,29605b3f-ddac-48a3-85db-9732b241e08f,2020,2020-2021,57840b9b-7bf9-4f58-b64c-07dfa79de851,34
235,61e17b51-1539-4c0d-80ab-a6824ab914de,2020,2020-2021,4252c9e0-9a76-4f38-a962-f07017af39bb,52
27,54425e22-2e35-4c08-b9c9-5821c5fdbc42,2020,2020-2021,768b6977-371d-4390-8a4d-ec522ad343df,24
38,56e2e603-140a-4d42-9ecc-9952209159b4,2020,2020-2021,d38c3e25-c813-4b1c-b59c-902c335a6788,11
205,ff6ffb56-358f-46d1-8a1a-4a709c2bd2a7,2020,2020-2021,c8bd4593-d945-423b-9e6f-4de5cf6924b6,92
17,f22ba70c-0c84-4763-a626-42d6bda8a8b5,2020,2020-2021,a5222059-ebb0-4a9d-a2be-8fc417b94358,91
200,8a864769-bf8f-4305-8227-f905c57591d2,2020,2020-2021,2557ee62-033d-4b7f-b054-d505d9cfb803,2
29,98068fd1-19f2-4e5d-888a-974ad04a7a74,2020,2020-2021,2d1703b7-ef3b-49e3-be66-b4fd4d7121d5,78
162,70ced3c7-0a86-4929-9710-4cb61ee724f9,2020,2020-2021,11cd313d-659f-41b4-a183-4cd497dd3f22,35
13,6ffb1dc5-8642-4eea-b284-9af3e7a20257,2020,2020-2021,4ef2dd14-16bc-4c7d-80be-f5fdce823ac8,65
5,b027e5d3-65bf-4a4c-851b-8d3b183aa145,2020,2020-2021,14ee8dd8-44ab-4fa6-b462-d22749180ca0,40
155,c906ce2a-b4e7-4ff6-ab63-cebdb9effc56,2020,2020-2021,a73abdcb-f232-4c1a-9387-2fe6afda0ad9,12
7,d3e30dcb-e896-49ca-9a18-1d9bf88ff584,2020,2020-2021,0189babd-da87-4fa6-9ff6-c8e4a5884d37,15
193,03a7b721-3cfa-4ef6-8cdf-9a008a4ab87f,2020,2020-2021,dff45508-4d56-49b7-8eff-5d2524a7e230,36
36,3fe564ba-4f89-41e6-821e-f613353ab4c5,2020,2020-2021,0be39ef2-c0e8-4dee-a4b0-5eb38595e465,98
218,a91b265c-4628-4eff-9295-c1828f8b4f4b,2020,2020-2021,17dd29fc-3d17-4b23-9ba9-6446c1b9cfbc,71
